date,year,month,week,tv_grps,digital_video_views,paid_search_clicks,sms_campaign_volume,call_center_outreach,weekly_sales_units
2022-01-02,2022,1,52,161.46138510855482,78081.22262769443,11190.78045839412,67783.06825845526,9118.039310806238,1001.3687572740571
2022-01-09,2022,1,1,198.25744200310095,174791.01155353576,18169.16203536993,31325.909951775284,19885.133252229254,856.1998007370904
2022-01-16,2022,1,2,96.56754026498743,187040.85032638256,28911.51236608546,50709.9571073357,13740.114446801392,1175.7541519033794
2022-01-23,2022,1,3,138.2689339494395,80328.93156110166,38508.23641704335,74580.35604318025,7760.211360392967,1002.6241930905516
2022-01-30,2022,1,4,116.84042709300957,159529.80585467815,17965.463846878887,48987.035643158335,27947.6684793818,1142.6539943931184
2022-02-06,2022,2,5,88.81271599125463,195602.64076729878,22727.56488138961,39565.65815873102,14226.524419609577,1271.6445525688564
2022-02-13,2022,2,6,196.41679922313938,191567.27281270808,12523.103791945496,36155.13246811211,14694.375362118302,916.8810997874556
2022-02-20,2022,2,7,246.17092066605696,292552.010458196,25257.531580510873,58509.78033854526,12037.832992157797,1203.7184226180755
2022-02-27,2022,2,8,124.98888634014664,227594.47463209333,19133.177996467315,43163.587220650676,17508.407967421364,726.3456550965582
2022-03-06,2022,3,9,139.4472863243358,197650.23452030148,25210.895986330685,51095.653291925446,17037.246640646525,949.8686644512607
2022-03-13,2022,3,10,120.82012345288882,263196.8527793265,13344.545912775697,54478.2421354147,18112.374927303023,1229.6066551405738
2022-03-20,2022,3,11,167.95783602390696,138451.70476742144,10594.375222169188,44907.4233410768,17402.807597084375,1212.3302522647587
2022-03-27,2022,3,12,188.2236064159654,96467.06335819626,21952.348361578654,47987.24196078172,13672.241102034252,1082.291078830251
2022-04-03,2022,4,13,148.74320509228295,99824.6995108027,19347.43012364987,54566.24774213881,29309.71694335638,749.3270938965491
2022-04-10,2022,4,14,159.51078581012163,151848.69952700005,32868.73039145201,45544.12292224387,12694.86642160911,1150.149472683389
2022-04-17,2022,4,15,107.51174849828364,146694.3989581301,23045.897578773525,43855.795524729605,18599.304222584702,1354.7692172966977
2022-04-24,2022,4,16,157.92047001587176,184170.61367824397,17040.105309334227,54256.71443026003,24326.476065612256,1069.285833338297
2022-05-01,2022,5,17,143.6122908032806,99356.21878401896,18060.58336084329,33450.58531350625,21271.3625477091,1020.5484521546556
2022-05-08,2022,5,18,149.48493501352928,255287.1635678353,23586.456013587842,60184.54218490657,18781.773186098464,942.3332819529917
2022-05-15,2022,5,19,159.11373329813958,212388.0384887035,23809.56696253968,46560.58696827371,18908.173240216835,1208.8564197708458
2022-05-22,2022,5,20,145.45642029224655,129126.90340877163,23546.795523591194,38576.10847207167,21926.283516677213,1097.2985965175628
2022-05-29,2022,5,21,70.46176449860694,258864.62421301467,19574.11509867813,53166.73973438549,15556.462079246152,1098.9593374386322
2022-06-05,2022,6,22,154.11030927163992,191057.63429383383,16246.163326380223,53137.492172223305,11925.68806300799,1071.0732893216623
2022-06-12,2022,6,23,68.57148774576422,166091.97542629307,23938.430998160995,38596.50966204614,19561.384659426312,778.578335890958
2022-06-19,2022,6,24,173.9988064079533,237616.35016770428,20809.653048952034,44048.03787806992,12110.015889256123,1068.8223153281385
2022-06-26,2022,6,25,91.42697259594519,153353.00958073413,31306.568111842167,48233.65052673411,14155.855482899478,995.7336234162873
2022-07-03,2022,7,26,117.0713745537404,358469.3064326159,20004.257866434116,55813.534490852086,22535.19819810422,931.6157146442602
2022-07-10,2022,7,27,111.39487958784113,80101.6320794657,23608.72053896052,53554.770093531646,18284.72915992284,1035.6508472358962
2022-07-17,2022,7,28,147.6867982428559,83479.47991854875,21611.67978049162,72149.49701894332,22410.577937930277,1039.4001747734626
2022-07-24,2022,7,29,143.47337490101495,303860.0136508167,21568.93104335262,22659.536784730844,21900.21151530742,882.3302919031297
2022-07-31,2022,7,30,131.1579076084871,145420.13129844746,19387.810433009345,50848.157973263325,24038.657896821773,1304.3877156680087
2022-08-07,2022,8,31,187.7707298067131,129227.87649133157,20125.254187239814,59484.98802519364,16309.71465897466,744.4924413048907
2022-08-14,2022,8,32,109.7713822541997,157184.91903840366,25163.231707636565,49765.189353331625,21445.845665926146,1189.5356877185677
2022-08-21,2022,8,33,155.84045907772125,168566.03402436373,15658.604931385024,38177.035364847514,19881.994028568588,1068.8371947702733
2022-08-28,2022,8,34,102.71372317092404,134183.96066051416,27134.48634833615,49273.220565460106,21283.728352327555,1177.932281116765
2022-09-04,2022,9,35,210.92986662315363,135941.74292327827,26837.466986866966,46499.51378749262,22832.547854502085,1071.276548337499
2022-09-11,2022,9,36,139.8457863024457,248779.3988260799,34523.312570235204,39829.68855821729,28303.595096511228,949.3737227416497
2022-09-18,2022,9,37,130.40584217071705,163074.06135068525,26998.41877495097,39116.57028322896,22409.723420399103,1046.279693904407
2022-09-25,2022,9,38,143.08029210611065,172153.2015778625,21593.228595580742,45716.627529903526,16413.957641537945,1216.8579894509967
2022-10-02,2022,10,39,147.70186588021176,185251.899430622,10235.064382860179,53911.367685004254,12788.97814412831,1352.768831145127
2022-10-09,2022,10,40,162.30041909701814,92364.24674706643,30439.65099133941,55531.29068002651,27795.095688137095,1308.4233672527591
2022-10-16,2022,10,41,152.99678124727302,109284.63045594725,20834.447652668816,40685.24455192928,15137.421094742673,1198.7372085535935
2022-10-23,2022,10,42,148.5144811886207,159476.8222204702,18843.081061808312,49092.3094485445,12607.361582599142,1080.1652996878
2022-10-30,2022,10,43,173.89624263476637,111153.98916682837,22918.007856932512,47273.47506793091,24492.84652162751,960.8523950760103
2022-11-06,2022,11,44,132.8341892253976,289503.1678934948,30810.89418947862,50442.22567861768,25866.400431298636,1349.4122749727294
2022-11-13,2022,11,45,109.79944888682981,78278.1180171854,15476.874128528756,50338.10096330322,18584.140985513197,1288.8117684107651
2022-11-20,2022,11,46,109.15852293329655,285840.6878525787,19528.25069685265,53336.25718517321,19816.529374663798,1277.7821612573596
2022-11-27,2022,11,47,91.3674189975771,194802.0082110653,26505.673912264767,58082.232395770305,9621.276811193471,825.3112351099433
2022-12-04,2022,12,48,167.13412504834716,240920.87852124523,30434.98005111051,69330.9592613554,11390.00260982786,990.9091396307782
2022-12-11,2022,12,49,151.21185518712383,188201.55051082204,31906.181672201838,65266.798783022095,14419.055877573035,1054.7711677230197
2022-12-18,2022,12,50,151.80367090852204,137243.77193765366,14707.258278689771,49528.27141003724,27353.519788211153,1284.0169397478505
2022-12-25,2022,12,51,168.5228307057662,130392.11582002063,28411.170861064827,60162.9685740701,23720.505518245962,1123.5251187936208
2023-01-01,2023,1,52,124.40368899494338,97266.85779511018,12523.128973606365,58539.643221847524,23007.035256464333,995.3429444224682
2023-01-08,2023,1,1,167.4989928232973,110528.79935947666,17587.581816326696,53341.84722321765,28372.24801842471,1128.5583487207969
2023-01-15,2023,1,2,209.8247014782557,176522.01702428397,17245.176503973464,45292.51949529748,12137.147886122368,996.6930882595409
2023-01-22,2023,1,3,124.20180944085709,190650.00108154997,19113.452416724667,50301.085984455836,28409.020992948426,889.2487495482351
2023-01-29,2023,1,4,150.07010948802784,169372.8321086178,14102.763910633614,46451.3255999178,18426.05272298468,957.6026070900516
2023-02-05,2023,2,5,175.5467321318326,160642.95619805905,28403.88376817801,36671.26569715051,23038.587445130463,953.6773228999526
2023-02-12,2023,2,6,161.67077086510378,88033.75037168904,18999.93375994003,43629.457403435925,21845.54412904312,919.8904403542798
2023-02-19,2023,2,7,129.16610986331185,335558.4967446268,25434.602116467457,58923.692501897,21499.096187912688,936.3092905264432
2023-02-26,2023,2,8,103.76927693140044,191148.05461191447,31777.92063375313,42612.043723861614,25666.016475248074,1043.0963312013077
2023-03-05,2023,3,9,112.2742286030494,199914.13860536364,14780.2779383709,50886.416394408785,22944.9782554402,1105.6891200621158
2023-03-12,2023,3,10,170.69831146598375,259217.08077440734,12643.773394169422,47980.73337965652,18099.915645189114,1058.7770107637766
